german,french,rumantsch,italian,english,canton,postal code
Granfelden,Grandval,,,,BE,2745
Grellingen,Grellingue,,,,BL,4203
Grenchen,Granges,,,,SO,2540
Greyerz,Gruyères,,,,FR,1663
Greyerz (auch: Greierz),Gruyères,,,,FR,1663
Grimseln,Grimisuat,,,,VS,1971
Grissach,Cressier,,,,FR,1785
Grissach,Cressier,,,,NE,2088
Grossfavernach,Farvagny-le Grand,,,,FR,1726
Grossgurmels,Cormondes-le-Grand,,,,FR,3212
Grosslützel,Lucelle-le-Grand,,,,JU,2807
Grossmertenlach,Marly-le-Grand,,,,FR,1723
Grossvivers,Grand-Vivy,,,,FR,1783
Grosswiler,Villars-le-Grand,,,,VD,1584
Grun,Grône,,,,VS,3979
Grüsch,,Crusch,,,GR,7214
Gsteig bei Gstaad,Châtelet,,,,BE,3785
Gsteig bei Gstaad,Châtelet,,,,BE,3785
Gumefing,Gumefens,,,,FR,1643
Gumefing,Gumefens,,,,FR,1643
Gümmenen,Gumine,,,,BE,3205
Gümmenen,Gumine,,,,BE,3205
Gumschen,Belfaux,,,,FR,1782
Gundelsdorf,Cornol,,,,JU,2952
Gundis,Conthey,,,,VS,1964
Gunz,,,Gondo,,VS,3901
Gurin,,,Bosco,,TI,6685
Gurmels,Cormondes,,,,FR,3212
Gurmels,Cormondes,,,,FR,3212
Gurtnellen,,,Cornella,,UR,6482
Gurtnellen,,,Cornella,,UR,6482
Gurwolf,Courgevaux,,,,FR,1796
Guschubürli,Coussiberlé,,,,FR,1795
Haldenstein,,Lantsch sut,,,GR,7023
Hall,Alle,,,,JU,2942
Hasenburg,Asuel,,,,JU,2954
Häusern,Thielle,,,,NE,2075
Häusern-Wabern,Thielle-Wavre,,,,NE,2075
Hinterrhein,,Valragn,Valdireno,,GR,7438
Hohenzelg,Hautefin,,,,FR,3185
Hubel,Hobelet,,,,FR,1783
Iferten,Yverdon-les-Bains,,,,VD,1400
Igels,,Degen,,,GR,7145
Igis,,"Aigias, Eigias",,,GR,7206
Ilanz,,Glion,Jante,,GR,7130
Ilfingen,Orvin,,,,BE,2534
Ilfingermatten,"Prés d'Orvin, Les",,,,BE,2534
Illingen,Illens,,,,RR,1728
Im Fang,La Villette,,,,FR,1655
Innerferrera,,Calantgil,,,GR,7445
Innerschnitz,,Serneus,,,GR,7249
Ins,Anet,,,,BE,3232
Irnis,,,Giornico,,TI,6745
Jaun,Bellegarde,,,,FR,1656
Jenins,,Gianin,,,GR,7307
Jenisberg,,Valplana,,,GR,7494
Jennsdorf,Courgenay,,,,JU,2950
Jeuss,"Jente, Jentes",,,,FR,1793
Juf,,Giuf,,,GR,7448
Kalbermatten,Salavaux,,,,VD,1585
Kallnach,Chouchignies,,,,BE,3283
"Kalmiz, Chalmiz",Charmoille,,,,JU,2947
Kastel,Châtillon,,,,JU,2843
Kastels,Catty,,,,FR,3186
Kastels ob Montsalvens,Châtel-sur-Montsalvens,,,,FR,1653
Kastels Sankt Dionys,Châtel-St-Denis,,,,FR,1618
Kästris,,Castrisch,,,GR,7126
Kerzers,Chiètres,,,,FR,3210
Kevenach,Chevenez,,,,JU,2906
Kleinfavernach,Farvagny-le Petit,,,,FR,1726
Kleingurmels,Cormondes-le-Petit,,,,FR,3212
Kleinhüningen,Petit-Huningue,,,,BS,4000
Kleinlützel,Petit-Lucelle,,,,SO,4245
Kleinmertenlach,Marly-le-Petit,,,,FR,1723
Kleintwann,Petit-Douanne,,,,BE,2513
Kleinvivers,Petit-Vivy,,,,FR,1783
Klosters,,Claustra,,,GR,7250
Klus,Clus,,,,SO,4710
Koblenz,Coblence,,,,AG,5322
Korbers,Corbières,,,,FR,1647
Kormerat,Cormérod,,,,FR,1721
Küblis,,Cuvlignas,,,GR,7240
Kuef,Coeuve,,,,JU,2932
Kurlin,Cournillens,,,,FR,1784
Laax,,Lags,,,GR,7031
Lamlingen,Lamboing,,,,BE,2516
Landern (auch: Langern),"Landeron, Le",,,,NE,2525
Langenbrunn,Grandfontaine,,,,JU,2908
Langendorf,Lonville,,,,SO,4513
Langweiler,Grandvillard,,,,FR,1666
Lauenen bei Gstaad,Lauvine,,,,BE,3782
Lauerz,,,,,SZ,6424
Laufen,Laufon,,,,BL,4242
Lauis,,,Lugano,,TI,6900
Le Pâquier,Le Pâquier,,,,FR,1661
Leis,Lens,,,,VS,1978
Leitern,Léchelles,,,,FR,1773
Lengnau bei Biel,Longeau,,,,BE,2543
Lenk im Simmental,La Lenk,,,,BE,3775
Lentenach,Lentigny,,,,FR,1745
Lenz,,Lantsch,,,GR,7083
Lenzburg,Lenzbourg,,,,AG,5600
Lenzerheide,,Lai,,,GR,7078
Lessi,L'Etivaz,,,,VD,1831
Leubringen,Evilard,,,,BE,2533
Leuk(-Stadt),Loèche(-la-Ville),,,,VS,3953
Leukerbad,Loèche-les-Bains,,,,VS,3954
Liesberg,Irtièmont,,,,BL,4253
Lietingen,Glovelier,,,,JU,2855
Ligerz,Gléresse,,,,BE,2514
Lobsigen,Lucens,,,,BE,3268
"Losanen, Lausanen",Lausanne,Losanna,Losanna,,VD,1000
Loving,Lovens,,,,FR,1756
Löwenberg,La Motte,,,,FR,3286
Lüen,,Leun,,,GR,7027
"Luggaris, Luggarus",,"Locarno, Lucarn",Locarno,,TI,6600
Lurtigen,Lourtens,,,,FR,3215
Lüscherz,Locras,,,,BE,2576
Lüttelsdorf,Courroux,,,,JU,2822
Lützel,Lucelle,,,,JU,2807
Luvis,,Luven,,,GR,7141
Luzern,Lucerne,Lucerna,Lucerna,,LU,6000
Magerau,La Maigrauge,,,,FR,1700
Magglingen,Macolin,,,,BE,2532
Magneding,Magnedens,,,,FR,1727
Maienfeld,,Maiavilla,,,GR,7304
Maloja,,,Maloggia,,GR,7516
Manas,,Vnà,,,GR,7557
